timestamp,severity,user_id,session_id,message
2026-04-16 13:55:01,INFO,1023,abc123,User logged in successfully
2026-04-16 13:55:10,INFO,,abc123,Accessed /api/products
2026-04-16 13:55:20,INFO,,abc123,Accessed /api/cart
2026-04-16 13:56:01,WARNING,,abc123,Invalid request: missing payment_id
2026-04-16 13:56:05,WARNING,,abc123,Retry payment request
2026-04-16 13:56:08,WARNING,,abc123,Retry payment request
2026-04-16 13:56:15,ERROR,,abc123,Payment API timeout
2026-04-16 13:56:18,ERROR,,abc123,Payment API timeout
2026-04-16 13:56:20,ERROR,,,Payment service overloaded
2026-04-16 13:56:22,ERROR,,,Payment service overloaded
2026-04-16 13:56:30,CRITICAL,,,Payment service crashed
2026-04-16 13:57:00,INFO,,,Restarting payment service
2026-04-16 13:57:20,INFO,,,Service restored successfully
2026-04-16 15:10:01,ERROR,,,Service timeout
2026-04-16 15:10:02,ERROR,,,Service timeout
2026-04-16 15:10:05,CRITICAL,,,Service crash
